,Linear Regression,XGBoost Regressor
MSLE,0.00030986280583209923,0.00012818712099991575
Root MSLE,0.01760292037794011,0.011321975136870588
R2 Score,0.5274223930998531,0.8076761328001365
Accuracy(%),52.7422,80.7676
